id_xe,tieu_de,gia_ban_text,nam_san_xuat,hang_xe_mau_xe,gia_ban,tinh_trang,so_km,xuat_xu,kieu_dang,dong_co,nhien_lieu,dung_tich,mau_ngoai_that,mau_noi_that,so_cho,so_cua,ngay_dang,dia_chi,thanh_pho
6105005,"Xe 
			
							Hyundai Elantra 
						1.6 AT Đặc biệt 
						2024
						- 620 Triệu",620 Triệu,2024,Xe Hyundai Elantra 1.6 AT Đặc biệt,620.0,Xe đã dùng,6000.0,Lắp ráp trong nước,Sedan,Xăng  1.6 L,Xăng,1.6,Đen,Đen,5,4,12/04/2025,"79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội",Hà Nội
6157036,"Xe 
			
							Porsche Cayenne 
						S 
						2018
						- 4 Tỷ 850 Triệu",4 Tỷ 850 Triệu,2018,Xe Porsche Cayenne S,4000.0,Xe đã dùng,71000.0,Nhập khẩu,SUV,Xăng  2.9 L,Xăng,2.9,Đen,Kem,5,5,12/04/2025,"Ngõ 71 số 75 Phường Đức Giang, Quận Long Biên Hà Nội",Hà Nội
6131345,"Xe 
			
							Ford Ranger 
						XLS 2.0L 4x2 AT 
						2025
						- 610 Triệu",610 Triệu,2025,Xe Ford Ranger XLS 2.0L 4x2 AT,610.0,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Trắng,Đen,5,4,12/04/2025,"Đống Đa Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6077557,"Xe 
			
							BMW 5 Series 
						528i GT 
						2013
						- 699 Triệu",699 Triệu,2013,Xe BMW 5 Series 528i GT,699.0,Xe đã dùng,110000.0,Nhập khẩu,Sedan,Xăng  2.0 L,Xăng,2.0,Xám,Kem,5,4,12/04/2025,"Số 2 Hạ Yên Quyết - Cầu Giấy Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6181771,"Xe 
			
							Ford EcoSport 
						Titanium 1.5L AT 
						2020
						- 439 Triệu",439 Triệu,2020,Xe Ford EcoSport Titanium 1.5L AT,439.0,Xe đã dùng,66000.0,Lắp ráp trong nước,SUV,Xăng  1.5 L,Xăng,1.5,Đen,Đen,5,5,12/04/2025,"TP. Thủ Đức TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6131115,"Xe 
			
							Ford Territory 
						Titanium X 1.5 AT 
						2023
						- 865 Triệu",865 Triệu,2023,Xe Ford Territory Titanium X 1.5 AT,865.0,Xe đã dùng,12000.0,Lắp ráp trong nước,SUV,Xăng  1.5 L,Xăng,1.5,Trắng,Đen,5,5,12/04/2025,"39 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6139604,"Xe 
			
							Toyota Innova 
						2.0E 
						2012
						- 255 Triệu",255 Triệu,2012,Xe Toyota Innova 2.0E,255.0,Xe đã dùng,120000.0,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Xăng,2.0,Bạc,Nhiều màu,8,5,12/04/2025,Khu 8 thị trấn Đoan Hùng Phú Thọ,
6184507,"Xe 
			
							Toyota Corolla altis 
						1.8G AT 
						2020
						- 589 Triệu",589 Triệu,2020,Xe Toyota Corolla altis 1.8G AT,589.0,Xe đã dùng,60000.0,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Xăng,1.8,Đen,Kem,5,4,12/04/2025,"23 Vũ Đức Thận,  Long Biên Hà Nội",Hà Nội
6180777,"Xe 
			
							Nissan Terra 
						E 2.5 AT 2WD 
						2019
						- 695 Triệu",695 Triệu,2019,Xe Nissan Terra E 2.5 AT 2WD,695.0,Xe đã dùng,31000.0,Nhập khẩu,SUV,Xăng  2.5 L,Xăng,2.5,Đỏ,Nâu,7,5,12/04/2025,"69 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6173556,"Xe 
			
							Mercedes Benz GLC 
						250 4Matic 
						2017
						- 950 Triệu",950 Triệu,2017,Xe Mercedes Benz GLC 250 4Matic,950.0,Xe đã dùng,57000.0,Lắp ráp trong nước,SUV,Xăng  2.0 L,Xăng,2.0,Đỏ,Nâu,5,5,12/04/2025,439 Cộng Hòa - P15 - Q Tân Bình TP HCM,TP HCM
6143107,"Xe 
			
							Mercedes Benz GLC 
						300 4Matic 
						2022
						- 1 Tỷ 699 Triệu",1 Tỷ 699 Triệu,2022,Xe Mercedes Benz GLC 300 4Matic,1000.0,Xe đã dùng,19000.0,Lắp ráp trong nước,SUV,Xăng  2.0 L,Xăng,2.0,Xám,Kem,5,5,12/04/2025,"2Bis Nguyễn Huy Điển, Phường 7, Q.Gò Vấp TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6037894,"Xe 
			
							Mitsubishi Xpander 
						Cross 1.5 AT 
						2021
						- 539 Triệu",539 Triệu,2021,Xe Mitsubishi Xpander Cross 1.5 AT,539.0,Xe đã dùng,63000.0,Nhập khẩu,SUV,Xăng  1.5 L,Xăng,1.5,Cam,Nhiều màu,7,5,12/04/2025,"Số 10 Bt 2 - Kđt Văn Phú, Hà Đông Hà Nội",Hà Nội
6036101,"Xe 
			
							VinFast Lux SA 2.0 
						Plus 2.0 AT 
						2021
						- 749 Triệu",749 Triệu,2021,Xe VinFast Lux SA 2.0 Plus 2.0 AT,749.0,Xe đã dùng,78000.0,Lắp ráp trong nước,SUV,Xăng  2.0 L,Xăng,2.0,Trắng,Nâu,7,5,12/04/2025,"389A Nguyễn Xiển, P.Đại Kim, Q.Hoàng Mai Hà Nội",Hà Nội
5984503,"Xe 
			
							Toyota Corolla altis 
						1.8G AT 
						2016
						- 465 Triệu",465 Triệu,2016,Xe Toyota Corolla altis 1.8G AT,465.0,Xe đã dùng,85000.0,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Xăng,1.8,Nâu,Đen,5,4,12/04/2025,"Km14+300 QL6 Ba la, Hà Đông Hà Nội",Hà Nội
6148240,"Xe 
			
							Mercedes Benz S class 
						S500L 
						2011
						- 838 Triệu",838 Triệu,2011,Xe Mercedes Benz S class S500L,838.0,Xe đã dùng,0.0,Nhập khẩu,Sedan,Xăng  4.7 L,Xăng,4.7,Đen,Kem,5,4,12/04/2025,"720 Nguyễn Văn Cừ, Long Biên Hà Nội",Hà Nội
6047508,"Xe 
			
							Mercedes Benz E class 
						E200 
						2020
						- 1 Tỷ 79 Triệu",1 Tỷ 79 Triệu,2020,Xe Mercedes Benz E class E200,1000.0,Xe đã dùng,0.0,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xăng,2.0,Trắng,Đen,5,4,12/04/2025,"Tp Hcm TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6166138,"Xe 
			
							Honda CRV 
						2.4 AT 
						2016
						- 560 Triệu",560 Triệu,2016,Xe Honda CRV 2.4 AT,560.0,Xe đã dùng,130000.0,Lắp ráp trong nước,SUV,Xăng  2.4 L,Xăng,2.4,Đen,Đen,5,5,12/04/2025,397 Nguyễn Xiển - Thanh Xuân Hà Nội,Hà Nội
6163993,"Xe 
			
							Toyota Wigo 
						G 1.2 AT 
						2024
						- 420 Triệu",420 Triệu,2024,Xe Toyota Wigo G 1.2 AT,420.0,Xe đã dùng,2800.0,Nhập khẩu,Hatchback,Xăng  1.2 L,Xăng,1.2,Trắng,Đen,5,5,12/04/2025,"Ngã ba Pháp Vân, Phường Hoàng Liệt, Quận Hoàng Mai Hà Nội",Hà Nội
6149413,"Xe 
			
							Ford Everest 
						Titanium 2.0L 4x2 AT 
						2022
						- 1 Tỷ 5 Triệu",1 Tỷ 5 Triệu,2022,Xe Ford Everest Titanium 2.0L 4x2 AT,1000.0,Xe đã dùng,42000.0,Nhập khẩu,SUV,Dầu  2.0 L,Dầu,2.0,Bạc,Đen,7,5,12/04/2025,"161F phường 3, Quận 8 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6138272,"Xe 
			
							Lexus RX 
						350h Premium 
						2025
						- 3 Tỷ 500 Triệu",3 Tỷ 500 Triệu,2025,Xe Lexus RX 350h Premium,3000.0,Xe mới,,Nhập khẩu,SUV,Hybrid  2.5 L,Hybrid,2.5,Trắng,Màu khác,5,5,12/04/2025,"Số 1 Dương Đình Nghệ, Nam Từ Liêm Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6091423,"Xe 
			
							Lexus ES 
						250 
						2025
						- 2 Tỷ 360 Triệu",2 Tỷ 360 Triệu,2025,Xe Lexus ES 250,2000.0,Xe mới,,Nhập khẩu,Sedan,Xăng  2.5 L,Xăng,2.5,Bạc,Nâu,5,4,12/04/2025,"Tổ dân phố 8, P Mỹ Đình 1, Q Nam Từ Liêm (Ngã 4 Phạm Hùng vs Dương Đình Nghệ) Hà Nội",Hà Nội
6075155,"Xe 
			
							Mercedes Benz Vito 
						Tourer 121 
						2016
						- 1 Tỷ 680 Triệu",1 Tỷ 680 Triệu,2016,Xe Mercedes Benz Vito Tourer 121,1000.0,Xe đã dùng,0.0,Nhập khẩu,Van/Minivan,Xăng  2.0 L,Xăng,2.0,Bạc,Nâu,8,5,12/04/2025,"138 Cộng Hòa, P4, Q. Tân Bình TP HCM",TP HCM
5944275,"Xe 
			
							Hyundai Creta 
						Tiêu chuẩn 1.5 AT 
						2022
						- 585 Triệu",585 Triệu,2022,Xe Hyundai Creta Tiêu chuẩn 1.5 AT,585.0,Xe đã dùng,0.0,Nhập khẩu,Crossover,Xăng  1.5 L,Xăng,1.5,Trắng,Đen,5,5,12/04/2025,68 Lê Văn Lương Hà Nội,Hà Nội
6178819,"Xe 
			
							Ford Ranger 
						Raptor 2.0L 4x4 AT 
						2023
						- 1 Tỷ 130 Triệu",1 Tỷ 130 Triệu,2023,Xe Ford Ranger Raptor 2.0L 4x4 AT,1000.0,Xe đã dùng,44000.0,Nhập khẩu,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Trắng,Đen,5,4,12/04/2025,Hồ Chí Minh TP HCM,TP HCM
